show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,ROI
843394,Movie,Cat Person,Susanna Fogel,"Emilia Jones, Nicholas Braun, Geraldine Viswanathan, Isabella Rossellini, Hope Davis","France, United States of America",2023-10-06,2023,5.8,"Thriller, Comedy",en,12.488,77,5.8,12000000,282000,0.02
844417,Movie,Marlowe,Neil Jordan,"Liam Neeson, Diane Kruger, Jessica Lange, Danny Huston, Alan Cumming","France, Ireland, Spain, United States of America",2023-02-15,2023,5.7,Crime,en,12.434,377,5.7,20000000,6262663,0.31
977506,Movie,The Crime Is Mine,François Ozon,"Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert, Fabrice Luchini, Dany Boon",France,2023-02-24,2023,6.4,"Crime, Comedy, Mystery, Drama",fr,12.113,406,6.4,13700000,10436638,0.76
1048522,Movie,Fremont,Babak Jalali,"Anaita Wali Zada, Jeremy Allen White, Gregg Turkington, Hilda Schmelling, Siddique Ahmed",United States of America,2023-08-25,2023,6.458,"Comedy, Drama",en,12.1,83,6.458,3000000,600376,0.2
1068452,Movie,Hi Nanna,Shouryuv,"Nani, Mrunal Thakur, Baby Kiara Khanna, Jayaram, Shilpa Tulaskar",India,2023-12-07,2023,7.7,"Drama, Family, Romance",te,12.05,45,7.7,7819000,9184966,1.17
720557,Movie,Tiger 3,Maneesh Sharma,"Salman Khan, Katrina Kaif, Emraan Hashmi, Simran, Revathi","Austria, India, Russia, Turkey",2023-11-12,2023,5.837,"Action, Adventure, Thriller",hi,11.972,49,5.837,38000000,47000000,1.24
859235,Movie,Coup de Chance,Woody Allen,"Lou de Laâge, Valérie Lemercier, Melvil Poupaud, Niels Schneider, Elsa Zylberstein","France, United Kingdom, United States of America",2023-09-15,2023,6.2,"Romance, Drama, Comedy",fr,11.964,377,6.2,10000000,3767399,0.38
1035806,Movie,Detective Knight: Independence,Edward Drake,"Bruce Willis, Lochlyn Munro, Jimmy Jean-Louis, Jack Kilmer, Willow Shields","Canada, United States of America",2023-01-20,2023,5.4,"Action, Crime, Thriller",en,11.88,175,5.4,2000000,36171,0.02
824016,Movie,The Palace,Roman Polanski,"Oliver Masucci, Fanny Ardant, John Cleese, Bronwyn James, Joaquim de Almeida","Belgium, France, Italy, Poland, Switzerland",2023-09-28,2023,5.4,"Comedy, Drama",en,11.778,170,5.4,18700000,420350,0.02
1001026,Movie,Open Season,"Antonin Fourlon, Frédéric Forestier","Hakim Jemili, Camille Lou, Didier Bourdon, Thierry Lhermitte, Jean-François Cayrey","Belgium, France",2023-12-20,2023,5.924,Comedy,fr,11.777,139,5.924,9827000,14990406,1.53
